path	class	in_feature_set	candidate_state	upstream_state	candidate_differs_upstream	accepted_differs_upstream	candidate_blob	upstream_blob
src/state/openclaw-state-db.test.ts	test-file	yes	present	present	yes	yes	d6b77531e4f159895089d5ed548f23d2dbabd7fd	dca28bc92b3ee0f2667cabe0c2bc84a2177260d3
src/system-agent/setup-inference.test.ts	test-file	no	present	present	no	yes	63a0a40f084e0088e692ed0d5fb84de09c73076a	63a0a40f084e0088e692ed0d5fb84de09c73076a
src/talk/session-runtime.test.ts	test-file	no	present	present	no	yes	4c8cc7eb4d4e5475267bb1a0090139b740ac405e	4c8cc7eb4d4e5475267bb1a0090139b740ac405e
src/wizard/setup.model-auth.test.ts	test-file	no	present	present	no	yes	bcbe235c31dce1f395ffea5a8f7fb104affde962	bcbe235c31dce1f395ffea5a8f7fb104affde962
test/cli-json-stdout.e2e.test.ts	test-file	no	present	present	no	yes	1622adbe608cbbe1f77caf7b11fc1ee9758cceab	1622adbe608cbbe1f77caf7b11fc1ee9758cceab
test/e2e/qa-lab/runtime/fixtures/worker-inference-generation-provider/index.js	test-support-fixture-snapshot	no	present	present	no	yes	0ce9d78dc389697212ecaec198009d83238911d9	0ce9d78dc389697212ecaec198009d83238911d9
test/e2e/qa-lab/runtime/node-worker-launch-wire.e2e.test.ts	test-file	no	present	present	no	yes	c8f238835907225849427b3ad6b691c9d3fdb0e1	c8f238835907225849427b3ad6b691c9d3fdb0e1
test/e2e/qa-lab/runtime/paired-node-worker-wire-fixture.ts	test-support-fixture-snapshot	no	present	present	no	yes	867a825557628ccbe0cb37ac84126fdd778d7e37	867a825557628ccbe0cb37ac84126fdd778d7e37
test/e2e/qa-lab/runtime/worker-inference-generation-reload.ts	test-support-fixture-snapshot	no	present	present	no	yes	16c439fc54b6d55c125277f317c993aecca691d2	16c439fc54b6d55c125277f317c993aecca691d2
test/openclaw-launcher.e2e.test.ts	test-file	no	present	present	no	yes	83a3b7b4e84016701cb2c9ccc22e42bd8f7edd2e	83a3b7b4e84016701cb2c9ccc22e42bd8f7edd2e
test/pr126853-heartbeat-visible-lane-proof.e2e.test.ts	test-file	no	present	present	no	yes	c9c031064c7bfa9ecaf754d544e8651a3a8ac057	c9c031064c7bfa9ecaf754d544e8651a3a8ac057
test/scripts/docker-build-helper.test.ts	test-file	no	present	present	no	yes	8dc7d3973a48b5eb7c8eb96dd66eadb9dd1dcf56	8dc7d3973a48b5eb7c8eb96dd66eadb9dd1dcf56
test/scripts/mantis-build-telegram-desktop-proof-evidence.test.ts	test-file	no	present	present	no	yes	17d1b2ca3466074b56be735bf526ddddfbe613c1	17d1b2ca3466074b56be735bf526ddddfbe613c1
