artifact_id	name	size_bytes	sha256	expired
10154498626	openclaw-local-ci-batch-local-batch-057-0b85aeb4685d	128413	43772cc833e1a9a094403e08f695dac6654357e6900287358bc399d17f45fdf2	false
10153576216	openclaw-local-ci-batch-local-batch-058-0b85aeb4685d	125156	3b20d4a911a42ad4d287a31ea6ed8575b07eac31bec4e7ca8585b0ef4c00889e	false
10154403018	openclaw-local-ci-batch-local-batch-059-0b85aeb4685d	353051	c84640c5fd968f7b97db382235e90f2da5b7d29e71547aa537ed43558512a15d	false
10154067089	openclaw-local-ci-batch-local-batch-060-0b85aeb4685d	232816	fdb216f627f77c93c41f9c03057d8a544243b9ccf4ac8631c4b7c6ebab08bc0a	false
10152647298	openclaw-local-ci-batch-local-batch-061-0b85aeb4685d	42466	bd9dbd7cc2b7350d246e76d2ce2406b10877074b464239c9a4bc72edc4f6f683	false
10154131174	openclaw-local-ci-batch-local-batch-062-0b85aeb4685d	113645	fdedceb653cb497f9668e67cfe76dad1fdebf7852dcb703f825206b26d587660	false
10153209588	openclaw-local-ci-batch-local-batch-063-0b85aeb4685d	181724	4ed30405d309b5019302bf98b3fb6d6d19c8979d554ede6e4c4ae76979b5a644	false
10153683891	openclaw-local-ci-batch-local-batch-064-0b85aeb4685d	62529	32ea158b6bb934711589da960e696bcf166e404acc48264c289252b61deadbd8	false
10152844840	openclaw-local-ci-batch-local-batch-065-0b85aeb4685d	15673	7d15eae441319d906759096e973f031eedf721ac1090cdce4215516ef96ec8c1	false
10153845603	openclaw-local-ci-batch-local-batch-066-0b85aeb4685d	15431	ea13ece15025eb64e3ea24fed45eb0cd1d9527b52ae6a337882fd8900b5cd4b6	false
10153016573	openclaw-local-ci-batch-local-batch-067-0b85aeb4685d	34536	ba0b3f671a30a119055011ddab70388845b8d9858da2a4ae34be3c9fb48c972b	false
10152667788	openclaw-local-ci-batch-local-batch-068-0b85aeb4685d	17035	5f825146dd0f677e2ff95c40ea01bc58526333f10356032b6e36cfde63e585b2	false
10152620806	openclaw-local-ci-batch-local-batch-069-0b85aeb4685d	26977	95ab30c2e64fdd5a7ffbe19955d6e176be4702566ec4f0b9b2c8e97a2dfa14c6	false
10152481309	openclaw-local-ci-batch-local-batch-070-0b85aeb4685d	69703	b5d244a65bf76b88d9586d065079e214a0f90846453857a6b36cc04dbdd4160c	false
10154705423	openclaw-local-ci-batch-local-batch-071-0b85aeb4685d	555103	b2986f42a88a06e6233c1b376bf2f6eb71a9bcc30f293fc6f1602b2df2c9b984	false
10152646807	openclaw-local-ci-batch-local-batch-072-0b85aeb4685d	288547	859eeeb76d0bbb6da9ed0b517952c4602f26449fc83644ad4eaa187ffd011732	false
10153571683	openclaw-local-ci-batch-local-batch-073-0b85aeb4685d	497805	e5e49875aa210d3654e46e59697669eaa618a75467b6b490a16e8b38662a032b	false
10152371072	openclaw-local-ci-routing-plan-0b85aeb4685d	135948	27db6e3abe98fc71b4e8e595053fe7bd7fe089a8e19c3b1d448a6f94dec1d4f7	false
10152895843	openclaw-local-ci-static-0b85aeb4685d	12915	a5410cd1a3c0937c8a6445289ead026f5600802d79ad634edfa5d999911096d4	false
